index,threshold,content_id
156,156,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-01-order-numbers/level-06
157,157,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-01-order-numbers/level-08
158,158,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-01
159,159,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-02
160,160,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-03
161,161,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-04
162,162,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-05
163,163,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-06
164,164,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-07
165,165,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-02-compare-numbers-1-to-10/level-test
166,166,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-03-compare-numbers-1-to-100-tens/level-01
167,167,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-03-compare-numbers-1-to-100-tens/level-02
168,168,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-03-compare-numbers-1-to-100-tens/level-03
169,169,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-03-compare-numbers-1-to-100-tens/level-04
170,170,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-04-compare-numbers-1-to-100-non-tens/level-01
171,171,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-04-compare-numbers-1-to-100-non-tens/level-02
172,172,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-04-compare-numbers-1-to-100-non-tens/level-03
173,173,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-04-compare-numbers-1-to-100-non-tens/level-04
174,174,Anton:/../c-mat-1-us/topic-05-place-value/block-01-ten-and-ones/level-02
175,175,Anton:/../c-mat-1-us/topic-05-place-value/block-01-ten-and-ones/level-03
176,176,Anton:/../c-mat-1-us/topic-05-place-value/block-01-ten-and-ones/level-04
177,177,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-01
178,178,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-02
179,179,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-03
180,180,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-04
181,181,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-05
182,182,Anton:/../c-mat-1-us/topic-05-place-value/block-02-tens/level-test
183,183,Anton:/../c-mat-1-us/topic-05-place-value/block-03-tens-and-ones/level-01
184,184,Anton:/../c-mat-1-us/topic-05-place-value/block-03-tens-and-ones/level-02
185,185,Anton:/../c-mat-1-us/topic-05-place-value/block-03-tens-and-ones/level-03
186,186,Anton:/../c-mat-1-us/topic-05-place-value/block-03-tens-and-ones/level-04
187,187,Anton:/../c-mat-1-us/topic-05-place-value/block-03-tens-and-ones/level-05
188,188,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-01
189,189,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-02
190,190,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-03
191,191,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-04
192,192,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-05
193,193,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-06
194,194,Anton:/../c-mat-1-us/topic-07-equations/block-01-addition-equations/level-07
195,195,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-01
196,196,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-02
197,197,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-03
198,198,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-04
199,199,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-05
200,200,Anton:/../c-mat-1-us/topic-07-equations/block-02-subtraction-equations/level-06
201,201,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-01
202,202,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-02
203,203,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-03
204,204,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-04
205,205,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-05
206,206,Anton:/../c-mat-1-us/topic-07-equations/block-03-mixed-equations/level-06
207,207,Anton:/../c-mat-1-us/topic-09-data-and-graphs/block-01-sort-objects/level-01
208,208,Anton:/../c-mat-1-us/topic-09-data-and-graphs/block-01-sort-objects/level-02
209,209,Anton:/../c-mat-1-us/topic-09-data-and-graphs/block-01-sort-objects/level-03
210,210,Anton:/../c-mat-1-us/topic-09-data-and-graphs/block-01-sort-objects/level-test
211,211,Anton:/../c-mat-1-us/topic-10-shapes/block-01-two-dimensional-shapes-01/level-04
212,212,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-01
213,213,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-02
214,214,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-03
215,215,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-04
216,216,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-05
217,217,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-06
218,218,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-07
219,219,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-08
220,220,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-09
221,221,Anton:/../c-mat-1-us/topic-10-shapes/block-04-compare-shapes-01/level-test
222,222,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-01
223,223,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-02
224,224,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-03
225,225,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-04
226,226,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-05
227,227,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-06
228,228,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-07
229,229,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-08
230,230,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-09
231,231,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-10
232,232,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-11
233,233,Anton:/../c-mat-1-us/topic-10-shapes/block-05-compare-shapes-02/level-test
234,234,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-01
235,235,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-02
236,236,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-03
237,237,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-04
238,238,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-05
239,239,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-06
240,240,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-07
241,241,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-08
242,242,Anton:/../c-mat-1-us/topic-10-shapes/block-06-draw-shapes/level-test
243,243,Anton:/../c-mat-1-us/topic-11-fractions/block-01-whole-and-equal-parts/level-01
244,244,Anton:/../c-mat-1-us/topic-11-fractions/block-01-whole-and-equal-parts/level-02
245,245,Anton:/../c-mat-1-us/topic-11-fractions/block-01-whole-and-equal-parts/level-03
